GeneName	MeanOverall	DispOverall	Disp1	Disp2	DispFC	DispLog2FC	ProbDiffDisp	ResultDiffDisp
GPD2	0.102	0.46	0.324	0.653	0.508	-0.976	0.749	NoDiff
GPN1	0.399	0.061	0.078	0.038	2.039	1.028	0.739	NoDiff
GPN2	0.388	0.059	0.071	0.043	1.635	0.709	0.688	NoDiff
GPR137B	0.412	1.319	1.53	1.018	1.489	0.575	0.472	NoDiff
GPR15	0.024	2.495	2.922	1.886	1.309	0.389	0.658	ExcludedFromTesting
GPR153	0.006	16.389	24.388	4.983	5.217	2.383	0.889	NoDiff
GPR155	0.256	3.228	2.775	3.875	0.711	-0.492	0.312	ExcludedFromTesting
GPR157	0.037	2.799	3.682	1.54	2.375	1.248	0.829	NoDiff
GPR160	2.499	0.816	0.881	0.723	1.229	0.298	0.005	NoDiff
GPR161	0.003	13.15	13.278	12.968	0.974	-0.037	0.754	NoDiff
GPR171	0.004	28.105	16.021	45.335	0.336	-1.572	0.799	NoDiff
GPR35	0.01	26.975	29.19	23.817	1.247	0.318	0.578	NoDiff
GPR52	0.002	16.946	10.141	26.65	0.464	-1.107	0.784	NoDiff
GPR55	0.159	1.859	2.179	1.404	1.53	0.614	0.568	ExcludedFromTesting
GPR89A	0.188	0.105	0.104	0.106	1.025	0.035	0.608	NoDiff
GPR89B	0.183	0.304	0.383	0.191	2.066	1.047	0.739	NoDiff
GPSM2	0.045	0.347	0.405	0.264	1.372	0.456	0.749	NoDiff
GPX1	12.014	0.386	0.426	0.329	1.304	0.383	0.025	NoDiff
GPX7	0.345	1.164	1.074	1.292	0.842	-0.248	0.111	NoDiff
GRAMD1C	0.018	1.105	0.974	1.292	0.754	-0.407	0.693	NoDiff
GREB1	0.005	7.78	10.456	3.964	2.881	1.527	0.814	NoDiff
GRHL1	0.004	9.902	10.021	9.732	1.084	0.116	0.769	NoDiff
GRK4	0.087	0.809	1.049	0.468	2.131	1.091	0.744	NoDiff
GRPEL1	0.658	0.3	0.305	0.293	1.061	0.085	0.06	NoDiff
GRSF1	0.903	0.071	0.052	0.099	0.516	-0.955	0.719	NoDiff
GS1-279B7.2	0.004	7.826	8.192	7.305	1.311	0.39	0.774	NoDiff
GSK3B	0.4	0.097	0.088	0.109	0.85	-0.235	0.543	NoDiff
GSTCD	0.039	0.62	0.814	0.344	2.386	1.255	0.824	NoDiff
GSTM1	0.028	1.587	1.592	1.58	0.968	-0.046	0.593	ExcludedFromTesting
GSTM2	0.03	1.596	2.541	0.25	8.579	3.101	0.97	GM12878+
GSTM3	0.031	5.172	4.259	6.474	0.665	-0.588	0.578	NoDiff
GSTM4	0.258	0.682	0.425	1.049	0.396	-1.337	0.97	GM18502+
GSTM5	0.005	14.045	10.725	18.779	0.67	-0.577	0.739	NoDiff
GTDC1	0.065	0.381	0.35	0.425	0.983	-0.025	0.784	NoDiff
GTF2B	0.533	0.197	0.164	0.245	0.657	-0.606	0.528	NoDiff
GTF2E1	0.091	0.149	0.116	0.197	0.66	-0.6	0.794	NoDiff
GTF3C2	0.255	0.085	0.079	0.095	0.932	-0.102	0.623	NoDiff
GTF3C2-AS1	0.003	15.141	12.778	18.511	0.81	-0.304	0.749	NoDiff
GTF3C3	0.187	0.245	0.373	0.061	5.721	2.516	0.95	NoDiff
GTPBP8	0.287	0.183	0.199	0.161	1.212	0.278	0.563	NoDiff
GUF1	0.139	0.211	0.211	0.211	1.004	0.006	0.709	NoDiff
GUK1	8.499	0.057	0.061	0.05	1.224	0.292	0.03	NoDiff
GYG1	0.756	0.569	0.634	0.476	1.335	0.417	0.196	ExcludedFromTesting
GYPC	3.295	0.274	0.305	0.229	1.338	0.42	0.03	ExcludedFromTesting
H1FX	0.779	3.615	3.332	4.018	0.829	-0.271	0	NoDiff
H1FX-AS1	0.005	7.38	4.949	10.846	0.55	-0.861	0.799	NoDiff
H2AFZ	7.695	0.599	0.525	0.704	0.743	-0.429	0	NoDiff
H3F3A	14.429	0.196	0.196	0.194	1.02	0.029	0	NoDiff
H6PD	0.082	0.387	0.47	0.269	1.849	0.887	0.688	NoDiff
HAAO	0.246	0.56	0.715	0.34	2.122	1.085	0.899	NoDiff
HACD2	0.081	0.259	0.225	0.307	0.661	-0.598	0.759	NoDiff
HACL1	0.156	0.191	0.214	0.159	1.248	0.319	0.673	NoDiff
HADH	0.47	0.266	0.355	0.138	2.593	1.375	0.91	NoDiff
HADHA	1.823	0.066	0.066	0.066	0.986	-0.02	0.151	NoDiff
HADHB	0.813	0.114	0.098	0.138	0.715	-0.483	0.447	NoDiff
HAT1	0.332	0.154	0.159	0.147	1.071	0.099	0.492	NoDiff
HAUS3	0.067	0.193	0.169	0.228	0.802	-0.318	0.729	NoDiff
HAX1	2.838	0.153	0.181	0.115	1.568	0.649	0.678	NoDiff
HCLS1	2.206	0.133	0.119	0.152	0.785	-0.35	0.106	NoDiff
HCN3	0.009	3.842	3.952	3.686	0.956	-0.065	0.719	NoDiff
HDAC1	1.256	0.233	0.252	0.205	1.219	0.286	0.065	NoDiff
HDAC11	0.01	2.722	1.962	3.806	0.569	-0.815	0.739	NoDiff
HDAC4	0.02	38.714	32.365	47.766	0.663	-0.593	0.518	NoDiff
HDGF	0.542	0.27	0.353	0.152	2.371	1.245	0.975	GM12878+
HDLBP	1.549	0.193	0.239	0.128	1.86	0.895	0.869	NoDiff
HEATR1	0.13	0.373	0.355	0.398	0.847	-0.24	0.623	NoDiff
HEATR5B	0.07	0.424	0.623	0.14	4.21	2.074	0.899	NoDiff
HECTD3	0.098	0.154	0.155	0.154	0.93	-0.105	0.719	NoDiff
HECW2	0.03	3.818	3.736	3.935	0.966	-0.05	0.477	ExcludedFromTesting
HEG1	0.154	0.893	1.079	0.627	1.723	0.785	0.663	NoDiff
HELQ	0.143	0.139	0.175	0.088	1.933	0.951	0.698	NoDiff
HEMK1	0.181	0.109	0.118	0.097	1.119	0.162	0.714	NoDiff
HENMT1	0.095	0.685	0.72	0.634	1.138	0.187	0.533	NoDiff
HERC3	0.043	0.521	0.321	0.806	0.427	-1.227	0.814	NoDiff
HERC5	0.392	2.244	1.29	3.603	0.365	-1.455	1	ExcludedFromTesting
HERC6	0.083	1.437	0.951	2.13	0.451	-1.149	0.769	ExcludedFromTesting
HES1	0.149	9.586	13.374	4.184	3.165	1.662	1	ExcludedFromTesting
HES2	0.006	27.016	19.711	37.432	0.507	-0.979	0.729	NoDiff
HES4	0.024	27.636	37.873	13.039	2.883	1.527	0.91	ExcludedFromTesting
HES6	0.042	8.637	12.076	3.734	3.248	1.7	0.995	GM12878+
HESX1	0.028	0.796	0.849	0.72	1.311	0.391	0.764	NoDiff
HHAT	0.043	1.325	1.557	0.993	1.791	0.841	0.653	ExcludedFromTesting
HHLA2	0.003	12.506	12.03	13.185	1.038	0.054	0.784	NoDiff
HHLA3	0.252	0.172	0.129	0.233	0.542	-0.883	0.724	NoDiff
HIBCH	0.696	0.299	0.369	0.199	1.851	0.888	0.819	ExcludedFromTesting
HIGD1A	1.18	0.219	0.26	0.159	1.625	0.7	0.683	NoDiff
HIPK1	0.079	0.356	0.475	0.186	2.434	1.283	0.784	NoDiff
HIPK1-AS1	0.028	0.752	0.605	0.963	0.703	-0.508	0.714	NoDiff
HIST2H2AA4	0.006	4.856	4.379	5.537	0.672	-0.573	0.754	NoDiff
HIST2H2AB	0.002	18.011	19.991	15.187	0.888	-0.171	0.839	NoDiff
HIST2H2AC	0.07	0.469	0.672	0.179	4.101	2.036	0.874	NoDiff
HIST2H2BE	0.056	3.02	4.006	1.613	2.578	1.366	0.849	NoDiff
HIST2H2BF	0.008	3.513	4.251	2.461	1.621	0.697	0.774	NoDiff
HIST2H4A	0.017	6.4	3.363	10.731	0.298	-1.745	0.884	NoDiff
HIST2H4B	0.004	10.415	13.024	6.694	2.05	1.036	0.794	NoDiff
HIST3H2A	0.366	1.163	1.582	0.565	2.79	1.48	0.99	GM12878+
HIST3H2BB	0.009	2.406	1.903	3.124	0.652	-0.618	0.784	NoDiff
HIVEP3	0.084	2.05	2.257	1.756	1.208	0.273	0.407	NoDiff
HJURP	0.016	2.72	3.267	1.941	1.809	0.856	0.724	NoDiff
HK2	0.066	1.147	1.404	0.78	1.892	0.92	0.698	ExcludedFromTesting
HLTF	0.214	0.315	0.236	0.426	0.537	-0.896	0.653	NoDiff
HLX	0.005	42.539	62.816	13.626	4.461	2.157	0.884	NoDiff
HMCES	0.497	0.911	0.836	1.018	0.821	-0.285	0.07	NoDiff
HMGCL	0.462	0.294	0.246	0.362	0.677	-0.562	0.487	NoDiff
HMGN2	7.715	0.6	0.581	0.626	0.926	-0.112	0	NoDiff
HNMT	0.004	11.254	10.906	11.75	0.93	-0.105	0.819	ExcludedFromTesting
HNRNPA3	2.412	0.138	0.139	0.137	1.027	0.038	0.01	NoDiff
HNRNPD	1.797	0.116	0.117	0.114	1.009	0.013	0.035	NoDiff
HNRNPDL	2.702	0.214	0.247	0.166	1.489	0.574	0.437	NoDiff
HNRNPLL	0.138	0.615	0.623	0.604	1.062	0.087	0.317	NoDiff
HNRNPR	1.553	0.145	0.138	0.156	0.871	-0.199	0.085	NoDiff
HNRNPU	1.647	0.131	0.132	0.129	1.034	0.049	0.01	NoDiff
HNRNPU-AS1	0.088	0.323	0.378	0.244	1.498	0.583	0.693	NoDiff
HOOK1	0.048	3.482	1.435	6.402	0.228	-2.136	0.94	ExcludedFromTesting
HOPX	0.032	21.158	19.718	23.21	0.813	-0.299	0.271	NoDiff
HP1BP3	0.87	0.106	0.115	0.095	1.243	0.314	0.337	NoDiff
HPCAL1	0.256	0.963	1.005	0.904	1.115	0.158	0.075	NoDiff
HPCAL4	0.003	177.614	11.818	414.019	0.025	-5.346	0.97	GM18502+
HPDL	0.042	1.465	1.145	1.92	0.604	-0.728	0.633	ExcludedFromTesting
HPS3	0.11	0.281	0.241	0.337	0.734	-0.447	0.658	NoDiff
HPSE	0.023	2.574	3.915	0.662	6.438	2.687	0.925	ExcludedFromTesting
HS1BP3	0.098	0.577	0.74	0.344	2.174	1.12	0.764	NoDiff
HS2ST1	0.368	0.555	0.639	0.434	1.468	0.554	0.472	NoDiff
HS3ST1	0.017	15.226	20.366	7.897	2.688	1.427	0.869	NoDiff
HS6ST1	0.022	0.764	0.567	1.045	0.618	-0.695	0.769	NoDiff
HSD17B11	0.828	0.497	0.539	0.437	1.24	0.311	0.07	NoDiff
HSD17B7	0.252	0.428	0.351	0.539	0.65	-0.622	0.538	NoDiff
HSPA6	0.004	10.404	12.11	7.973	1.732	0.792	0.719	NoDiff
HSPB11	1.67	0.077	0.065	0.095	0.695	-0.525	0.442	NoDiff
HSPBAP1	0.11	0.278	0.214	0.369	0.576	-0.797	0.678	NoDiff
HSPD1	3.908	0.378	0.429	0.304	1.403	0.488	0.136	ExcludedFromTesting
HSPE1	3.148	0.515	0.566	0.441	1.273	0.348	0.005	ExcludedFromTesting
HSPG2	0.006	4.147	4.814	3.197	1.673	0.743	0.809	NoDiff
HTR2B	0.008	34.537	47.239	16.426	3.082	1.624	0.804	ExcludedFromTesting
HTRA2	0.68	0.218	0.206	0.235	0.894	-0.162	0.126	NoDiff
HTRA3	0.015	2532.884	2194.595	3015.247	0.911	-0.134	0.774	NoDiff
HTT	0.319	0.211	0.22	0.199	1.189	0.249	0.367	NoDiff
HYAL2	0.139	0.436	0.452	0.412	1.105	0.144	0.568	NoDiff
HYAL3	0.06	0.677	0.897	0.363	2.305	1.205	0.794	NoDiff
HYI	0.136	1.4	1.475	1.292	1.163	0.218	0.377	ExcludedFromTesting
HYI-AS1	0.002	15.406	16.443	13.927	0.933	-0.1	0.834	NoDiff
IAH1	1.362	0.056	0.052	0.062	0.822	-0.283	0.422	NoDiff
IARS2	0.434	0.059	0.044	0.08	0.579	-0.79	0.714	NoDiff
IBA57	0.106	0.148	0.176	0.109	1.321	0.402	0.714	NoDiff
IBA57-AS1	0.001	10.14	8.397	12.625	0.342	-1.55	0.96	ExcludedFromTesting
ICA1L	0.051	1.236	0.573	2.181	0.251	-1.995	0.884	NoDiff
ICMT	0.192	0.257	0.219	0.312	0.668	-0.582	0.593	NoDiff
ID2	0.612	3.896	4.359	3.235	1.357	0.441	0.08	NoDiff
ID3	8.743	1.794	2.055	1.423	1.444	0.53	0.156	NoDiff
IDH1	0.305	0.385	0.355	0.429	0.844	-0.244	0.261	NoDiff
IDH1-AS1	0.036	0.644	0.781	0.448	1.772	0.826	0.749	NoDiff
IDUA	0.035	0.487	0.397	0.614	0.627	-0.673	0.714	ExcludedFromTesting
IER5	0.26	0.607	0.677	0.508	1.304	0.383	0.322	NoDiff
IFFO2	0.034	0.68	0.669	0.694	1.032	0.045	0.683	NoDiff
IFI16	3.331	0.392	0.44	0.322	1.363	0.447	0.06	NoDiff
IFI44	0.969	0.602	0.513	0.729	0.699	-0.516	0.357	NoDiff
IFI44L	4.536	0.934	0.949	0.913	1.033	0.047	0	NoDiff
IFI6	4.505	1.148	1.107	1.205	0.916	-0.127	0	NoDiff
IFIH1	0.354	0.817	0.748	0.916	0.804	-0.315	0.116	NoDiff
IFNLR1	0.077	0.718	0.623	0.854	0.724	-0.466	0.628	NoDiff
IFRD2	0.513	0.692	0.79	0.553	1.433	0.519	0.392	NoDiff
IFT122	0.037	0.985	0.586	1.555	0.434	-1.204	0.744	NoDiff
IFT172	0.011	2.06	2.249	1.789	1.176	0.234	0.764	NoDiff
IFT57	0.632	0.29	0.283	0.3	0.931	-0.102	0.111	NoDiff
IFT80	0.057	0.709	1.001	0.292	3.724	1.897	0.894	NoDiff
IGFBP2	0.001	15.736	15.121	16.612	0.789	-0.341	0.734	ExcludedFromTesting
IGFBP7	0.003	125.196	11.822	286.854	0.038	-4.724	0.94	NoDiff
IGKC	84.827	5.54	7.764	2.368	3.304	1.724	0.995	ExcludedFromTesting
IGKV1-12	0.098	236.921	400.905	3.098	132.096	7.045	1	ExcludedFromTesting
IGKV2-30	0.01	1187.837	1342.004	968.012	1.331	0.413	0.558	NoDiff
IGKV2D-28	0.004	272.333	320.985	202.962	1.348	0.43	0.734	NoDiff
IGKV3-20	0.029	162.086	85.654	271.069	0.311	-1.684	0.965	ExcludedFromTesting
IGKV4-1	0.517	9.694	9.194	10.408	0.882	-0.181	0	ExcludedFromTesting
IGSF10	0.002	15.107	16.394	13.271	1.325	0.406	0.834	ExcludedFromTesting
IGSF21	0.001	13.353	16.634	8.674	1.531	0.615	0.849	ExcludedFromTesting
IGSF3	0.003	27.828	13.064	48.88	0.29	-1.786	0.849	NoDiff
IGSF8	0.19	0.208	0.215	0.196	1.153	0.205	0.623	NoDiff
IKBKE	0.338	0.52	0.687	0.281	2.546	1.349	0.98	ExcludedFromTesting
IKZF2	0.279	0.879	1.096	0.569	1.924	0.944	0.92	NoDiff
IL10	0.149	9.264	10.404	7.639	1.35	0.433	0.241	NoDiff
IL12A	0.044	0.905	0.946	0.846	1.168	0.224	0.673	NoDiff
IL12RB2	0.011	5.536	5.886	5.038	1.153	0.206	0.678	NoDiff
IL17RB	0.047	20.627	25.622	13.505	1.821	0.865	0.834	ExcludedFromTesting
IL17RC	0.009	3.019	3.276	2.653	1.356	0.44	0.704	NoDiff
IL17RE	0.005	7.032	9.844	3.023	2.818	1.495	0.869	NoDiff
IL18R1	0.078	5.2	7.048	2.566	2.716	1.442	0.99	GM12878+
IL18RAP	0.004	15.894	20.415	9.446	2.171	1.118	0.754	NoDiff
IL19	0.014	5.17	7.328	2.093	3.571	1.836	0.839	NoDiff
IL1B	0.005	43.338	36.519	53.061	0.728	-0.458	0.784	NoDiff
IL1R1	0.013	18.946	20.655	16.51	1.253	0.325	0.472	NoDiff
IL1R2	0.037	60.915	33.448	100.078	0.35	-1.516	1	ExcludedFromTesting
IL1RAP	0.005	6.887	5.692	8.592	0.59	-0.761	0.809	NoDiff
IL20RB	0.004	6.684	8.439	4.18	2.769	1.47	0.859	NoDiff
IL23R	0.004	25.154	37.125	8.084	4.882	2.287	0.874	NoDiff
IL24	0.005	276.469	19.194	643.315	0.029	-5.125	1	GM18502+
IL5RA	0.006	11.422	3.355	22.925	0.148	-2.759	0.94	ExcludedFromTesting
IL6R	0.115	1.831	2.54	0.821	2.998	1.584	0.98	GM12878+
ILDR1	0.054	1.426	0.844	2.257	0.38	-1.396	0.824	NoDiff
ILDR2	0.012	1.958	1.218	3.013	0.378	-1.403	0.809	NoDiff
ILF2	2.32	0.136	0.129	0.147	0.872	-0.198	0.03	NoDiff
ILKAP	0.457	0.161	0.174	0.142	1.248	0.319	0.382	NoDiff
IMMT	0.681	0.084	0.068	0.106	0.697	-0.521	0.518	NoDiff
IMP4	1.678	0.117	0.117	0.117	1	0	0.035	NoDiff
IMPDH2	2.138	0.37	0.396	0.332	1.208	0.273	0	ExcludedFromTesting
IMPG2	0.003	16.887	16.301	17.723	0.852	-0.231	0.814	NoDiff
INADL	0.034	1.528	1.459	1.625	0.936	-0.096	0.563	NoDiff
ING5	0.127	0.509	0.71	0.222	2.791	1.481	0.864	NoDiff
INO80B	0.117	0.202	0.216	0.183	1.128	0.174	0.693	NoDiff
INO80D	0.119	0.238	0.158	0.353	0.453	-1.141	0.774	NoDiff
INPP1	0.168	0.525	0.358	0.763	0.453	-1.142	0.819	NoDiff
INPP4A	0.385	0.492	0.319	0.739	0.439	-1.189	0.965	GM18502+
INPP5B	0.137	0.133	0.173	0.078	2.013	1.009	0.824	NoDiff
INPP5D	0.903	0.392	0.348	0.453	0.775	-0.367	0.146	NoDiff
INSIG2	0.388	0.438	0.289	0.652	0.453	-1.143	0.95	NoDiff
INTS12	0.348	0.095	0.034	0.181	0.195	-2.355	0.955	GM18502+
INTS3	0.177	0.179	0.169	0.194	0.861	-0.217	0.578	NoDiff
INTS7	0.112	0.189	0.217	0.147	1.437	0.523	0.698	NoDiff
IP6K1	0.162	0.154	0.125	0.195	0.653	-0.614	0.653	NoDiff
IP6K2	0.812	0.148	0.159	0.133	1.214	0.28	0.231	NoDiff
IPO13	0.089	0.185	0.143	0.246	0.567	-0.817	0.779	NoDiff
IPO9	0.207	0.119	0.136	0.096	1.447	0.533	0.739	NoDiff
IPO9-AS1	0.014	5.053	7.248	1.924	4.133	2.047	0.874	NoDiff
IPP	0.082	0.226	0.319	0.092	3.194	1.675	0.829	NoDiff
IQCB1	0.362	0.471	0.455	0.495	0.909	-0.138	0.231	ExcludedFromTesting
IQCC	0.014	1.766	2.517	0.696	4.017	2.006	0.789	NoDiff
IQCG	0.077	2.602	2.579	2.635	0.93	-0.105	0.312	NoDiff
IQGAP3	0.003	27.041	38.429	10.804	4.723	2.24	0.844	NoDiff
IQSEC1	0.172	0.391	0.257	0.583	0.438	-1.191	0.819	NoDiff
IRAK2	0.023	1.145	1.011	1.335	0.68	-0.556	0.658	NoDiff
IRF2BP2	0.566	0.75	0.809	0.666	1.22	0.287	0.035	NoDiff
IRF6	0.003	11.586	12.857	9.773	1.197	0.26	0.829	NoDiff
IRS1	0.004	42.722	17.194	79.122	0.201	-2.317	0.874	NoDiff
ISG15	39.904	0.622	0.59	0.667	0.893	-0.163	0	NoDiff
ISG20L2	0.487	0.212	0.24	0.172	1.411	0.496	0.462	NoDiff
ISY1	0.484	0.085	0.072	0.103	0.666	-0.587	0.633	NoDiff
ITGA10	0.01	7.981	9.732	5.486	1.59	0.669	0.698	NoDiff
ITGA4	1.626	1.495	1.428	1.59	0.9	-0.152	0	ExcludedFromTesting
ITGAV	0.047	0.373	0.33	0.434	0.633	-0.661	0.774	NoDiff
ITGB1BP1	1.726	0.172	0.211	0.116	1.812	0.858	0.915	NoDiff
ITGB3BP	0.615	0.133	0.089	0.196	0.462	-1.115	0.849	NoDiff
ITGB5	0.013	5.76	7.715	2.973	2.392	1.258	0.769	NoDiff
ITIH1	0	6.919	8.151	5.163	1.258	0.331	0.839	ExcludedFromTesting
ITIH3	0.003	737.022	12.742	1769.764	0.009	-6.854	0.99	ExcludedFromTesting
ITIH4	0.008	4.267	3.617	5.193	0.691	-0.533	0.739	NoDiff
ITM2C	6.559	1.034	1.131	0.895	1.255	0.328	0	NoDiff
ITPKB	0.102	0.929	1.196	0.55	2.198	1.136	0.814	NoDiff
ITPKB-AS1	0.006	4.725	4.79	4.634	1.332	0.413	0.774	NoDiff
ITPR1	0.083	0.602	0.595	0.613	0.899	-0.154	0.693	NoDiff
ITPRIPL1	0.057	0.38	0.533	0.163	2.988	1.579	0.824	ExcludedFromTesting
ITSN2	1.136	0.108	0.128	0.081	1.581	0.661	0.548	NoDiff
IVL	0.016	68.372	40.405	108.25	0.38	-1.395	0.955	GM18502+
IVNS1ABP	0.19	0.453	0.442	0.468	0.976	-0.035	0.291	NoDiff
IWS1	0.413	0.114	0.087	0.151	0.633	-0.659	0.598	NoDiff
JAGN1	1.606	0.079	0.086	0.068	1.321	0.402	0.342	NoDiff
JAK1	1.344	0.515	0.504	0.53	0.951	-0.072	0	NoDiff
JAKMIP1	0.05	2.364	3.037	1.404	2.202	1.139	0.764	NoDiff
JCHAIN	143.319	3.204	2.384	4.374	0.547	-0.871	1	ExcludedFromTesting
JMJD4	0.199	0.246	0.297	0.172	1.713	0.777	0.688	NoDiff
JTB	7.799	0.096	0.115	0.068	1.712	0.776	0.94	NoDiff
JUN	0.468	5.253	5.49	4.914	1.108	0.148	0	ExcludedFromTesting
KALRN	0.009	6.787	9.383	3.084	2.968	1.569	0.789	NoDiff
KANSL1L	0.015	1.128	1.31	0.869	1.239	0.309	0.789	NoDiff
KANSL3	0.052	0.428	0.563	0.237	2.304	1.204	0.754	NoDiff
KAT2B	0.035	0.599	0.379	0.913	0.441	-1.18	0.764	NoDiff
KAZN	0.009	21.17	26.585	13.448	1.734	0.794	0.784	ExcludedFromTesting
KBTBD8	0.067	0.706	1.101	0.143	7.523	2.911	0.975	ExcludedFromTesting
KCMF1	0.587	0.078	0.116	0.025	4.415	2.142	0.91	NoDiff
KCNA2	0.007	11.2	5.54	19.271	0.349	-1.518	0.864	ExcludedFromTesting
KCNA3	0.047	2.927	1.996	4.254	0.517	-0.951	0.734	ExcludedFromTesting
KCNAB1	0.003	43.202	18.87	77.896	0.202	-2.306	0.915	NoDiff
KCNAB2	0.338	0.289	0.323	0.242	1.325	0.405	0.377	NoDiff
KCNC4	0.013	7.331	6.78	8.117	0.859	-0.219	0.608	NoDiff
KCND3	0.002	20.693	26.222	12.809	1.701	0.767	0.779	ExcludedFromTesting
KCNH8	0.003	12.911	10.967	15.682	0.694	-0.527	0.905	NoDiff
KCNK1	0.079	2.104	2.418	1.656	1.447	0.533	0.523	ExcludedFromTesting
KCNK12	0.047	1.951	1.976	1.916	0.986	-0.021	0.513	NoDiff
KCNMB2	0.036	6.101	3.297	10.099	0.335	-1.578	0.844	ExcludedFromTesting
KCNMB3	0.03	0.952	1.058	0.803	1.377	0.461	0.709	NoDiff
KCNN3	0.404	0.848	0.755	0.979	0.75	-0.416	0.151	NoDiff
KCNQ4	0.001	15.327	14.647	16.296	0.863	-0.212	0.824	ExcludedFromTesting
KCTD18	0.138	0.13	0.156	0.093	1.772	0.826	0.719	NoDiff
KCTD3	0.054	0.555	0.62	0.462	1.401	0.487	0.658	NoDiff
KCTD6	0.058	0.28	0.334	0.203	1.863	0.897	0.774	NoDiff
KDF1	0.004	10.885	11.426	10.113	1.375	0.46	0.819	NoDiff
KDM1A	0.271	0.097	0.097	0.097	0.878	-0.188	0.693	NoDiff
KDM3A	0.101	0.39	0.229	0.619	0.384	-1.382	0.784	NoDiff
KDM4A	0.079	0.324	0.353	0.282	1.264	0.338	0.744	NoDiff
KDM4A-AS1	0.017	2.727	3.826	1.162	3.299	1.722	0.864	NoDiff
KDM5B	0.133	0.892	1.164	0.506	2.377	1.249	0.859	NoDiff
KHDRBS1	1.893	0.07	0.066	0.076	0.868	-0.204	0.186	NoDiff
KHK	0.044	0.877	0.927	0.806	1.367	0.451	0.704	NoDiff
KIAA0040	0.39	0.666	0.747	0.55	1.363	0.447	0.332	NoDiff
KIAA0232	0.142	0.255	0.252	0.26	1.009	0.012	0.663	NoDiff
KIAA0319L	0.239	0.35	0.455	0.201	2.211	1.145	0.809	NoDiff
KIAA0907	0.411	0.143	0.14	0.148	0.943	-0.085	0.447	NoDiff
KIAA1107	0.003	13.583	8.82	20.375	0.477	-1.068	0.764	NoDiff
KIAA1143	0.564	0.048	0.047	0.049	0.984	-0.023	0.638	NoDiff
KIAA1324	0.003	14.929	17.593	11.13	1.47	0.556	0.724	NoDiff
KIAA1522	0.001	15.978	18.846	11.888	1.47	0.556	0.824	ExcludedFromTesting
KIAA1524	0.044	0.699	0.423	1.093	0.391	-1.353	0.764	NoDiff
KIAA1614	0.004	16.509	24.778	4.719	4.53	2.179	0.889	NoDiff
KIAA1614-AS1	0.011	2.185	2.918	1.14	3.534	1.821	0.804	NoDiff
KIAA1715	0.137	0.096	0.084	0.113	0.698	-0.519	0.769	NoDiff
KIAA1841	0.05	2.182	3.409	0.431	7.915	2.985	0.995	ExcludedFromTesting
KIAA2012	0.002	17.074	19.113	14.166	1.231	0.3	0.824	NoDiff
KIAA2013	0.346	0.575	0.475	0.716	0.659	-0.601	0.513	NoDiff
KIDINS220	0.141	0.243	0.32	0.133	2.764	1.467	0.784	NoDiff
KIF14	0.016	5.61	7.682	2.656	3.063	1.615	0.849	NoDiff
KIF15	0.015	2.704	3.151	2.067	1.519	0.603	0.673	NoDiff
KIF17	0.001	26.32	29.622	21.611	1.526	0.61	0.829	ExcludedFromTesting
KIF1B	0.064	0.714	0.73	0.692	1.186	0.246	0.638	NoDiff
KIF21B	0.033	0.834	1.128	0.414	2.687	1.426	0.799	NoDiff
KIF26B	0.026	8.615	8.617	8.612	1.058	0.082	0.377	NoDiff
KIF2C	0.031	1.061	0.756	1.496	0.494	-1.017	0.749	ExcludedFromTesting
KIF3C	0.011	10.759	17.893	0.587	26.236	4.713	0.995	GM12878+
KIF5C	0.007	15.539	23.303	4.468	5.772	2.529	0.92	NoDiff
KIF9	0.099	0.364	0.258	0.515	0.469	-1.093	0.739	NoDiff
KIF9-AS1	0.02	1.473	2.06	0.635	2.897	1.535	0.809	NoDiff
KIFAP3	0.222	0.316	0.404	0.19	2.178	1.123	0.754	NoDiff
KLB	0.008	7.479	9.69	4.326	2.279	1.188	0.774	NoDiff
KLF11	0.007	15.921	23.023	5.796	4.334	2.116	0.824	ExcludedFromTesting
KLF3	0.295	1.868	1.907	1.813	1.049	0.07	0.02	ExcludedFromTesting
KLF7	0.095	1.022	1.189	0.785	1.532	0.615	0.583	NoDiff
KLHDC8B	0.01	5.275	2.213	9.641	0.218	-2.198	0.894	NoDiff
KLHDC9	0.065	1.222	1.041	1.481	0.679	-0.559	0.578	NoDiff
KLHL12	0.202	0.085	0.092	0.074	1.205	0.269	0.698	NoDiff
KLHL17	0.02	0.736	0.809	0.633	1.239	0.31	0.804	NoDiff
KLHL18	0.278	0.143	0.11	0.191	0.554	-0.851	0.683	NoDiff
KLHL20	0.131	0.177	0.159	0.202	0.722	-0.47	0.714	NoDiff
KLHL21	0.038	2.799	3.191	2.239	1.447	0.533	0.553	NoDiff
KLHL23	0.065	2.358	2.45	2.226	1.125	0.17	0.357	ExcludedFromTesting
KLHL24	0.109	1.35	1.62	0.965	1.663	0.734	0.633	ExcludedFromTesting
KLHL29	0.028	1.512	1.592	1.398	1.163	0.218	0.688	NoDiff
KLHL5	0.172	0.294	0.41	0.127	3.322	1.732	0.884	NoDiff
KLHL6	0.097	2.42	2.361	2.505	0.92	-0.12	0.302	NoDiff
KLHL6-AS1	0.001	18.347	22.208	12.842	1.405	0.491	0.844	ExcludedFromTesting
KLHL8	0.093	0.562	0.557	0.569	0.893	-0.163	0.683	NoDiff
