GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
HDLBP	1.549	1.701	1.333	1.279	0.355	0	NoDiff
HEATR1	0.13	0.112	0.155	0.719	-0.475	0.171	NoDiff
HEATR5B	0.07	0.075	0.063	1.194	0.256	0.01	NoDiff
HECTD3	0.098	0.102	0.092	1.097	0.134	0.075	NoDiff
HECW2	0.03	0.038	0.018	2.082	1.058	0.995	GM12878+
HEG1	0.154	0.146	0.164	0.896	-0.159	0	NoDiff
HELQ	0.143	0.133	0.157	0.844	-0.244	0	NoDiff
HEMK1	0.181	0.184	0.177	1.041	0.058	0	NoDiff
HENMT1	0.095	0.1	0.088	1.146	0.196	0.025	NoDiff
HERC3	0.043	0.046	0.037	1.236	0.306	0.065	NoDiff
HERC5	0.392	0.586	0.115	5.089	2.347	1	GM12878+
HERC6	0.083	0.104	0.053	1.951	0.964	0.985	GM12878+
HES1	0.149	0.109	0.207	0.533	-0.909	1	GM18502+
HES2	0.006	0.007	0.004	1.606	0.684	0.638	NoDiff
HES4	0.024	0.01	0.044	0.215	-2.221	1	GM18502+
HES6	0.042	0.042	0.043	0.977	-0.033	0.055	NoDiff
HESX1	0.028	0.032	0.022	1.423	0.509	0.377	NoDiff
HHAT	0.043	0.056	0.024	2.252	1.171	1	GM12878+
HHLA2	0.003	0.003	0.003	1.171	0.228	0.362	NoDiff
HHLA3	0.252	0.278	0.215	1.296	0.374	0	NoDiff
HIBCH	0.696	0.869	0.448	1.93	0.948	1	GM12878+
HIGD1A	1.18	1.139	1.239	0.911	-0.134	0	NoDiff
HIPK1	0.079	0.086	0.069	1.231	0.3	0.151	NoDiff
HIPK1-AS1	0.028	0.03	0.026	1.159	0.213	0.015	NoDiff
HIST2H2AA4	0.006	0.008	0.005	1.589	0.668	0.593	NoDiff
HIST2H2AB	0.002	0.002	0.003	0.855	-0.225	0.382	NoDiff
HIST2H2AC	0.07	0.062	0.08	0.77	-0.377	0.035	NoDiff
HIST2H2BE	0.056	0.067	0.04	1.687	0.755	0.874	NoDiff
HIST2H2BF	0.008	0.009	0.007	1.218	0.285	0.196	NoDiff
HIST2H4A	0.017	0.016	0.019	0.86	-0.218	0.055	NoDiff
HIST2H4B	0.004	0.003	0.005	0.541	-0.887	0.724	NoDiff
HIST3H2A	0.366	0.31	0.446	0.694	-0.528	0.151	NoDiff
HIST3H2BB	0.009	0.008	0.011	0.736	-0.442	0.266	NoDiff
HIVEP3	0.084	0.068	0.107	0.623	-0.682	0.789	NoDiff
HJURP	0.016	0.014	0.019	0.765	-0.386	0.206	NoDiff
HK2	0.066	0.041	0.103	0.398	-1.328	1	GM18502+
HLTF	0.214	0.221	0.202	1.092	0.127	0	NoDiff
HLX	0.005	0.006	0.005	1.202	0.265	0.211	NoDiff
HMCES	0.497	0.532	0.446	1.194	0.256	0	NoDiff
HMGCL	0.462	0.455	0.472	0.963	-0.054	0	NoDiff
HMGN2	7.715	6.685	9.183	0.726	-0.462	0	NoDiff
HNMT	0.004	0	0.009	0.047	-4.415	1	GM18502+
HNRNPA3	2.412	2.406	2.422	0.991	-0.013	0	NoDiff
HNRNPD	1.797	1.65	2.007	0.821	-0.284	0	NoDiff
HNRNPDL	2.702	2.292	3.288	0.699	-0.517	0.01	NoDiff
HNRNPLL	0.138	0.132	0.145	0.908	-0.139	0	NoDiff
HNRNPR	1.553	1.541	1.571	0.977	-0.033	0	NoDiff
HNRNPU	1.647	1.63	1.67	0.977	-0.033	0	NoDiff
HNRNPU-AS1	0.088	0.078	0.101	0.772	-0.373	0.085	NoDiff
HOOK1	0.048	0.072	0.014	5.262	2.396	0.98	GM12878+
HOPX	0.032	0.025	0.043	0.586	-0.77	0.809	NoDiff
HP1BP3	0.87	0.946	0.763	1.238	0.308	0	NoDiff
HPCAL1	0.256	0.241	0.277	0.876	-0.192	0	NoDiff
HPCAL4	0.003	0.003	0.004	0.673	-0.572	0.513	NoDiff
HPDL	0.042	0.03	0.059	0.512	-0.967	1	GM18502+
HPS3	0.11	0.113	0.106	1.057	0.081	0.136	NoDiff
HPSE	0.023	0.011	0.04	0.278	-1.846	1	GM18502+
HS1BP3	0.098	0.099	0.096	1.04	0.056	0.075	NoDiff
HS2ST1	0.368	0.435	0.273	1.593	0.672	0.91	NoDiff
HS3ST1	0.017	0.02	0.012	1.648	0.72	0.709	NoDiff
HS6ST1	0.022	0.024	0.019	1.218	0.285	0.08	NoDiff
HSD17B11	0.828	0.808	0.857	0.948	-0.077	0	NoDiff
HSD17B7	0.252	0.215	0.304	0.711	-0.492	0.085	NoDiff
HSPA6	0.004	0.004	0.005	0.754	-0.407	0.327	NoDiff
HSPB11	1.67	1.724	1.594	1.084	0.116	0	NoDiff
HSPBAP1	0.11	0.118	0.099	1.193	0.255	0	NoDiff
HSPD1	3.908	3.069	5.105	0.6	-0.737	1	GM18502+
HSPE1	3.148	2.466	4.12	0.598	-0.743	1	GM18502+
HSPG2	0.006	0.006	0.006	0.988	-0.017	0.146	NoDiff
HTR2B	0.008	0.003	0.014	0.22	-2.186	1	GM18502+
HTRA2	0.68	0.772	0.55	1.401	0.487	0.01	NoDiff
HTRA3	0.015	0.014	0.016	1.027	0.038	0.548	NoDiff
HTT	0.319	0.292	0.358	0.808	-0.308	0	NoDiff
HYAL2	0.139	0.131	0.151	0.862	-0.214	0.085	NoDiff
HYAL3	0.06	0.051	0.074	0.689	-0.538	0.332	NoDiff
HYI	0.136	0.179	0.074	2.419	1.274	1	GM12878+
HYI-AS1	0.002	0.002	0.002	0.922	-0.117	0.271	NoDiff
IAH1	1.362	1.259	1.51	0.83	-0.268	0	NoDiff
IARS2	0.434	0.433	0.434	0.996	-0.006	0	NoDiff
IBA57	0.106	0.103	0.111	0.925	-0.113	0.101	NoDiff
IBA57-AS1	0.001	0	0.002	0.172	-2.543	1	GM18502+
ICA1L	0.051	0.05	0.053	0.95	-0.073	0.191	NoDiff
ICMT	0.192	0.18	0.209	0.855	-0.226	0	NoDiff
ID2	0.612	0.588	0.646	0.914	-0.129	0	NoDiff
ID3	8.743	7.895	9.952	0.793	-0.334	0	NoDiff
IDH1	0.305	0.274	0.348	0.786	-0.348	0	NoDiff
IDH1-AS1	0.036	0.027	0.049	0.547	-0.869	0.945	NoDiff
IDUA	0.035	0.045	0.022	2.067	1.047	0.975	GM12878+
IER5	0.26	0.242	0.285	0.838	-0.255	0	NoDiff
IFFO2	0.034	0.031	0.039	0.798	-0.326	0.045	NoDiff
IFI16	3.331	3.247	3.45	0.941	-0.088	0	NoDiff
IFI44	0.969	1.051	0.851	1.236	0.306	0	NoDiff
IFI44L	4.536	4.842	4.1	1.181	0.241	0	NoDiff
IFI6	4.505	5.282	3.397	1.541	0.624	0.864	NoDiff
IFIH1	0.354	0.345	0.367	0.932	-0.101	0	NoDiff
IFNLR1	0.077	0.09	0.058	1.526	0.61	0.618	NoDiff
IFRD2	0.513	0.435	0.623	0.696	-0.524	0.101	NoDiff
IFT122	0.037	0.039	0.034	1.142	0.191	0.05	NoDiff
IFT172	0.011	0.01	0.012	0.837	-0.256	0.09	NoDiff
IFT57	0.632	0.526	0.782	0.676	-0.566	0.302	NoDiff
IFT80	0.057	0.063	0.048	1.332	0.414	0.121	NoDiff
IGFBP2	0.001	0.001	0.002	0.239	-2.067	1	GM18502+
IGFBP7	0.003	0.003	0.003	1.051	0.071	0.538	NoDiff
IGKC	84.827	104.274	57.099	1.818	0.862	1	GM12878+
IGKV1-12	0.098	0.023	0.205	0.113	-3.141	1	GM18502+
IGKV2-30	0.01	0.012	0.008	1.406	0.492	0.518	NoDiff
IGKV2D-28	0.004	0.004	0.005	0.637	-0.65	0.643	NoDiff
IGKV3-20	0.029	0.044	0.009	4.629	2.211	1	GM12878+
IGKV4-1	0.517	0.656	0.319	2.034	1.025	1	GM12878+
IGSF10	0.002	0.001	0.003	0.207	-2.269	1	GM18502+
IGSF21	0.001	0.001	0.002	0.381	-1.394	0.985	GM18502+
IGSF3	0.003	0.003	0.003	0.812	-0.301	0.281	NoDiff
IGSF8	0.19	0.19	0.19	1	0	0	NoDiff
IKBKE	0.338	0.237	0.482	0.491	-1.028	1	GM18502+
IKZF2	0.279	0.263	0.302	0.872	-0.197	0	NoDiff
IL10	0.149	0.116	0.196	0.59	-0.762	0.905	NoDiff
IL12A	0.044	0.05	0.035	1.439	0.525	0.367	NoDiff
IL12RB2	0.011	0.007	0.016	0.463	-1.11	0.945	NoDiff
IL17RB	0.047	0.034	0.065	0.512	-0.967	0.97	GM18502+
IL17RC	0.009	0.009	0.009	1.05	0.07	0.05	NoDiff
IL17RE	0.005	0.004	0.006	0.544	-0.877	0.774	NoDiff
IL18R1	0.078	0.076	0.082	0.934	-0.099	0.01	NoDiff
IL18RAP	0.004	0.004	0.004	1.042	0.06	0.241	NoDiff
IL19	0.014	0.012	0.017	0.726	-0.462	0.322	NoDiff
IL1B	0.005	0.007	0.003	2.281	1.19	0.899	NoDiff
IL1R1	0.013	0.015	0.01	1.435	0.521	0.437	NoDiff
IL1R2	0.037	0.047	0.023	2.09	1.063	0.99	GM12878+
IL1RAP	0.005	0.005	0.004	1.495	0.581	0.492	NoDiff
IL20RB	0.004	0.003	0.006	0.507	-0.979	0.809	NoDiff
IL23R	0.004	0.005	0.004	1.133	0.18	0.317	NoDiff
IL24	0.005	0.003	0.008	0.368	-1.441	0.925	NoDiff
IL5RA	0.006	0.009	0.002	3.92	1.971	1	GM12878+
IL6R	0.115	0.11	0.121	0.911	-0.134	0.045	NoDiff
ILDR1	0.054	0.064	0.039	1.652	0.724	0.859	NoDiff
ILDR2	0.012	0.016	0.008	2.031	1.022	0.95	NoDiff
ILF2	2.32	2.193	2.501	0.874	-0.194	0	NoDiff
ILKAP	0.457	0.398	0.542	0.734	-0.447	0	NoDiff
IMMT	0.681	0.583	0.821	0.712	-0.49	0.005	NoDiff
IMP4	1.678	1.606	1.78	0.898	-0.155	0	NoDiff
IMPDH2	2.138	1.429	3.15	0.452	-1.147	1	GM18502+
IMPG2	0.003	0.003	0.003	1.165	0.22	0.307	NoDiff
INADL	0.034	0.039	0.027	1.414	0.499	0.342	NoDiff
ING5	0.127	0.126	0.127	0.996	-0.005	0	NoDiff
INO80B	0.117	0.132	0.095	1.395	0.48	0.116	NoDiff
INO80D	0.119	0.125	0.111	1.132	0.179	0.065	NoDiff
INPP1	0.168	0.199	0.123	1.608	0.685	0.94	NoDiff
INPP4A	0.385	0.456	0.284	1.617	0.693	0.95	NoDiff
INPP5B	0.137	0.133	0.143	0.929	-0.107	0	NoDiff
INPP5D	0.903	0.875	0.944	0.926	-0.111	0	NoDiff
INSIG2	0.388	0.364	0.422	0.867	-0.206	0	NoDiff
INTS12	0.348	0.332	0.373	0.894	-0.161	0	NoDiff
INTS3	0.177	0.173	0.183	0.942	-0.087	0	NoDiff
INTS7	0.112	0.109	0.116	0.934	-0.099	0.005	NoDiff
IP6K1	0.162	0.167	0.155	1.077	0.107	0	NoDiff
IP6K2	0.812	0.715	0.949	0.753	-0.409	0	NoDiff
IPO13	0.089	0.091	0.087	1.052	0.073	0.04	NoDiff
IPO9	0.207	0.194	0.225	0.87	-0.201	0	NoDiff
IPO9-AS1	0.014	0.013	0.016	0.782	-0.355	0.206	NoDiff
IPP	0.082	0.071	0.096	0.745	-0.424	0.055	NoDiff
IQCB1	0.362	0.441	0.25	1.771	0.824	1	GM12878+
IQCC	0.014	0.012	0.018	0.683	-0.549	0.447	NoDiff
IQCG	0.077	0.062	0.099	0.629	-0.67	0.789	NoDiff
IQGAP3	0.003	0.003	0.004	0.73	-0.454	0.432	NoDiff
IQSEC1	0.172	0.185	0.155	1.198	0.261	0	NoDiff
IRAK2	0.023	0.026	0.019	1.34	0.422	0.211	NoDiff
IRF2BP2	0.566	0.476	0.694	0.689	-0.537	0.201	NoDiff
IRF6	0.003	0.002	0.003	0.843	-0.246	0.412	NoDiff
IRS1	0.004	0.004	0.003	1.163	0.217	0.367	NoDiff
ISG15	39.904	44.912	32.763	1.373	0.457	0	NoDiff
ISG20L2	0.487	0.426	0.574	0.738	-0.439	0	NoDiff
ISY1	0.484	0.492	0.473	1.038	0.054	0	NoDiff
ITGA10	0.01	0.009	0.011	0.829	-0.271	0.156	NoDiff
ITGA4	1.626	2.1	0.952	2.214	1.147	1	GM12878+
ITGAV	0.047	0.051	0.042	1.229	0.297	0.07	NoDiff
ITGB1BP1	1.726	1.517	2.023	0.751	-0.412	0	NoDiff
ITGB3BP	0.615	0.654	0.56	1.172	0.229	0	NoDiff
ITGB5	0.013	0.012	0.014	0.852	-0.232	0.095	NoDiff
ITIH1	0	0	0.001	0.566	-0.822	1	GM18502+
ITIH3	0.003	0.001	0.006	0.093	-3.422	1	GM18502+
ITIH4	0.008	0.009	0.006	1.443	0.529	0.437	NoDiff
ITM2C	6.559	6.686	6.379	1.044	0.062	0	NoDiff
ITPKB	0.102	0.089	0.121	0.739	-0.436	0.095	NoDiff
ITPKB-AS1	0.006	0.007	0.006	1.134	0.182	0.166	NoDiff
ITPR1	0.083	0.092	0.07	1.313	0.393	0.176	NoDiff
ITPRIPL1	0.057	0.036	0.086	0.43	-1.219	0.99	GM18502+
ITSN2	1.136	1.061	1.242	0.854	-0.228	0	NoDiff
IVL	0.016	0.017	0.014	1.248	0.32	0.211	NoDiff
IVNS1ABP	0.19	0.161	0.231	0.698	-0.518	0.186	NoDiff
IWS1	0.413	0.368	0.477	0.771	-0.376	0	NoDiff
JAGN1	1.606	1.489	1.772	0.837	-0.257	0	NoDiff
JAK1	1.344	1.539	1.066	1.452	0.538	0.101	NoDiff
JAKMIP1	0.05	0.058	0.039	1.494	0.579	0.482	NoDiff
JCHAIN	143.319	203.444	57.586	3.508	1.811	1	GM12878+
JMJD4	0.199	0.198	0.202	0.982	-0.026	0	NoDiff
JTB	7.799	8.447	6.875	1.225	0.292	0	NoDiff
JUN	0.468	0.605	0.274	2.198	1.136	1	GM12878+
KALRN	0.009	0.007	0.011	0.593	-0.754	0.729	NoDiff
KANSL1L	0.015	0.017	0.012	1.493	0.579	0.492	NoDiff
KANSL3	0.052	0.051	0.053	0.961	-0.057	0.01	NoDiff
KAT2B	0.035	0.037	0.031	1.212	0.277	0.106	NoDiff
KAZN	0.009	0.012	0.004	3.254	1.702	1	GM12878+
KBTBD8	0.067	0.049	0.093	0.528	-0.922	0.97	GM18502+
KCMF1	0.587	0.553	0.635	0.873	-0.196	0	NoDiff
KCNA2	0.007	0.01	0.004	2.759	1.464	0.99	GM12878+
KCNA3	0.047	0.066	0.02	3.272	1.71	1	GM12878+
KCNAB1	0.003	0.003	0.003	0.825	-0.277	0.553	NoDiff
KCNAB2	0.338	0.277	0.425	0.653	-0.616	0.724	NoDiff
KCNC4	0.013	0.011	0.015	0.796	-0.33	0.156	NoDiff
KCND3	0.002	0.001	0.003	0.2	-2.322	1	GM18502+
KCNH8	0.003	0.004	0.002	1.574	0.654	0.568	NoDiff
KCNK1	0.079	0.1	0.05	2.023	1.016	1	GM12878+
KCNK12	0.047	0.049	0.044	1.125	0.17	0.01	NoDiff
KCNMB2	0.036	0.058	0.005	11.017	3.462	1	GM12878+
KCNMB3	0.03	0.033	0.025	1.285	0.362	0.116	NoDiff
KCNN3	0.404	0.404	0.404	0.998	-0.003	0	NoDiff
KCNQ4	0.001	0	0.002	0.2	-2.324	1	GM18502+
KCTD18	0.138	0.14	0.135	1.04	0.056	0	NoDiff
KCTD3	0.054	0.05	0.06	0.829	-0.271	0.03	NoDiff
KCTD6	0.058	0.059	0.056	1.056	0.078	0.025	NoDiff
KDF1	0.004	0.004	0.003	1.678	0.747	0.623	NoDiff
KDM1A	0.271	0.296	0.235	1.261	0.334	0	NoDiff
KDM3A	0.101	0.087	0.12	0.719	-0.476	0.106	NoDiff
KDM4A	0.079	0.079	0.078	1.005	0.007	0.06	NoDiff
KDM4A-AS1	0.017	0.013	0.022	0.605	-0.726	0.734	NoDiff
KDM5B	0.133	0.105	0.172	0.615	-0.701	0.869	NoDiff
KHDRBS1	1.893	1.751	2.095	0.83	-0.269	0	NoDiff
KHK	0.044	0.036	0.054	0.667	-0.583	0.503	NoDiff
KIAA0040	0.39	0.451	0.302	1.5	0.585	0.508	NoDiff
KIAA0232	0.142	0.155	0.123	1.248	0.319	0.146	NoDiff
KIAA0319L	0.239	0.255	0.215	1.18	0.239	0	NoDiff
KIAA0907	0.411	0.421	0.395	1.062	0.087	0	NoDiff
KIAA1107	0.003	0.004	0.003	1.056	0.079	0.302	NoDiff
KIAA1143	0.564	0.533	0.608	0.871	-0.199	0	NoDiff
KIAA1324	0.003	0.003	0.004	0.815	-0.295	0.337	NoDiff
KIAA1522	0.001	0.001	0.002	0.311	-1.687	1	GM18502+
KIAA1524	0.044	0.037	0.053	0.692	-0.53	0.417	NoDiff
KIAA1614	0.004	0.004	0.005	0.687	-0.542	0.457	NoDiff
KIAA1614-AS1	0.011	0.008	0.015	0.536	-0.898	0.844	NoDiff
KIAA1715	0.137	0.134	0.141	0.956	-0.065	0	NoDiff
KIAA1841	0.05	0.063	0.031	2.036	1.026	0.985	GM12878+
KIAA2012	0.002	0.002	0.002	0.82	-0.286	0.407	NoDiff
KIAA2013	0.346	0.363	0.323	1.131	0.178	0	NoDiff
KIDINS220	0.141	0.145	0.137	1.058	0.081	0	NoDiff
KIF14	0.016	0.012	0.02	0.606	-0.722	0.744	NoDiff
KIF15	0.015	0.012	0.02	0.63	-0.666	0.628	NoDiff
KIF17	0.001	0.001	0.002	0.261	-1.94	1	GM18502+
KIF1B	0.064	0.052	0.08	0.648	-0.626	0.663	NoDiff
KIF21B	0.033	0.033	0.032	1.03	0.043	0.01	NoDiff
KIF26B	0.026	0.026	0.026	0.996	-0.006	0	NoDiff
KIF2C	0.031	0.022	0.044	0.497	-1.008	0.98	GM18502+
KIF3C	0.011	0.009	0.015	0.573	-0.802	0.739	NoDiff
KIF5C	0.007	0.006	0.008	0.749	-0.417	0.337	NoDiff
KIF9	0.099	0.09	0.113	0.798	-0.326	0.146	NoDiff
KIF9-AS1	0.02	0.021	0.018	1.183	0.242	0.035	NoDiff
KIFAP3	0.222	0.251	0.18	1.394	0.479	0.05	NoDiff
KLB	0.008	0.01	0.005	1.961	0.971	0.839	NoDiff
KLF11	0.007	0.004	0.011	0.352	-1.508	0.99	GM18502+
KLF3	0.295	0.395	0.152	2.613	1.386	1	GM12878+
KLF7	0.095	0.087	0.105	0.825	-0.278	0.151	NoDiff
KLHDC8B	0.01	0.011	0.009	1.148	0.199	0.08	NoDiff
KLHDC9	0.065	0.071	0.056	1.27	0.345	0.106	NoDiff
KLHL12	0.202	0.178	0.235	0.757	-0.402	0	NoDiff
KLHL17	0.02	0.021	0.018	1.119	0.162	0.015	NoDiff
KLHL18	0.278	0.249	0.32	0.776	-0.367	0	NoDiff
KLHL20	0.131	0.136	0.125	1.087	0.12	0	NoDiff
KLHL21	0.038	0.039	0.037	1.033	0.047	0	NoDiff
KLHL23	0.065	0.046	0.091	0.501	-0.997	0.99	GM18502+
KLHL24	0.109	0.143	0.06	2.343	1.228	1	GM12878+
KLHL29	0.028	0.027	0.029	0.949	-0.076	0	NoDiff
KLHL5	0.172	0.183	0.156	1.17	0.226	0	NoDiff
KLHL6	0.097	0.114	0.072	1.573	0.653	0.698	NoDiff
KLHL6-AS1	0.001	0.001	0.002	0.346	-1.53	0.995	GM18502+
KLHL8	0.093	0.081	0.111	0.722	-0.469	0.327	NoDiff
KMO	0.078	0.065	0.097	0.667	-0.584	0.558	NoDiff
KPNA1	0.186	0.203	0.163	1.253	0.325	0	NoDiff
KPNA4	0.27	0.263	0.279	0.942	-0.086	0	NoDiff
KPNA6	0.416	0.4	0.438	0.913	-0.131	0	NoDiff
KRCC1	0.729	0.828	0.586	1.41	0.496	0.01	NoDiff
KRTCAP2	1.791	1.977	1.525	1.296	0.374	0	NoDiff
KRTCAP3	0.007	0.007	0.007	0.899	-0.153	0.131	NoDiff
KTI12	0.396	0.426	0.352	1.207	0.272	0	NoDiff
KYNU	0.363	0.362	0.364	0.991	-0.013	0	NoDiff
L1TD1	0.002	0.002	0.002	0.975	-0.036	0.302	NoDiff
LAD1	0.011	0.015	0.006	2.289	1.195	0.965	GM12878+
LAMB3	0.004	0.003	0.004	0.807	-0.31	0.307	NoDiff
LAMC1	0.208	0.234	0.172	1.357	0.44	0.01	NoDiff
LAMC2	0.004	0.005	0.002	2.092	1.065	0.729	NoDiff
LAMP3	0.222	0.225	0.219	1.025	0.036	0	NoDiff
LAMTOR2	2.443	2.432	2.46	0.981	-0.028	0	NoDiff
LAMTOR3	0.543	0.555	0.525	1.056	0.079	0	NoDiff
LAMTOR5	4.373	4.121	4.732	0.864	-0.211	0	NoDiff
LANCL1	0.078	0.08	0.074	1.084	0.116	0.055	NoDiff
LAP3	1.708	1.802	1.574	1.147	0.198	0	NoDiff
LAPTM4A	0.731	0.899	0.491	1.823	0.866	1	GM12878+
LAPTM5	11.762	12.064	11.331	1.063	0.088	0	NoDiff
LARS2	0.044	0.043	0.047	0.91	-0.137	0.095	NoDiff
LAX1	0.398	0.534	0.205	2.62	1.389	1	GM12878+
LBH	0.316	0.283	0.363	0.775	-0.368	0	NoDiff
LBR	0.441	0.426	0.463	0.916	-0.127	0	NoDiff
LBX2	0.01	0.011	0.009	1.195	0.257	0.166	NoDiff
LBX2-AS1	0.018	0.02	0.017	1.173	0.23	0.06	NoDiff
LCE1B	0.006	0.007	0.003	2.186	1.128	0.849	NoDiff
LCE1C	0.008	0.006	0.011	0.491	-1.026	0.764	NoDiff
LCE1E	0.01	0.011	0.008	1.404	0.49	0.392	NoDiff
LCK	1.872	0.995	3.124	0.317	-1.659	1	GM18502+
LCLAT1	0.055	0.051	0.06	0.844	-0.245	0	NoDiff
LCORL	0.135	0.155	0.106	1.458	0.544	0.322	NoDiff
LCT	0.003	0.004	0.003	1.292	0.37	0.397	NoDiff
LDAH	0.176	0.173	0.18	0.955	-0.066	0	NoDiff
LDLRAP1	0.276	0.395	0.106	3.701	1.888	1	GM12878+
LEF1	0.02	0.024	0.014	1.723	0.785	0.819	NoDiff
LEKR1	0.016	0.017	0.013	1.364	0.447	0.256	NoDiff
LEPR	0.011	0.013	0.008	1.519	0.603	0.523	NoDiff
LEPROT	0.544	0.626	0.427	1.462	0.548	0.196	NoDiff
LETM1	0.429	0.393	0.48	0.82	-0.287	0	NoDiff
LEXM	0.007	0.009	0.004	2.039	1.028	0.869	NoDiff
LGALS8	0.16	0.124	0.211	0.585	-0.772	1	GM18502+
LGALS8-AS1	0.005	0.003	0.007	0.341	-1.554	0.995	GM18502+
LGALSL	0.029	0.025	0.034	0.756	-0.404	0.141	NoDiff
LHFPL4	0.024	0.02	0.03	0.679	-0.559	0.447	NoDiff
LHX4	0.001	0.001	0.001	0.928	-0.108	0	NoDiff
LIAS	0.3	0.284	0.323	0.878	-0.188	0	NoDiff
LIMD1	0.294	0.391	0.158	2.488	1.315	1	GM12878+
LIMD1-AS1	0.003	0.002	0.003	0.771	-0.376	0.392	NoDiff
LIMS1	0.801	0.823	0.77	1.071	0.099	0	NoDiff
LIMS2	0.007	0.009	0.004	2.044	1.031	0.854	NoDiff
LIN54	0.032	0.032	0.033	0.981	-0.028	0.04	NoDiff
LIN9	0.022	0.023	0.02	1.154	0.206	0.03	NoDiff
LINC00115	0.019	0.016	0.024	0.663	-0.592	0.508	NoDiff
LINC00116	0.587	0.608	0.556	1.098	0.135	0	NoDiff
LINC00152	0.722	0.783	0.636	1.23	0.298	0	NoDiff
LINC00309	0.002	0.001	0.004	0.149	-2.751	1	GM18502+
LINC00337	0.006	0.007	0.004	1.439	0.525	0.457	NoDiff
LINC00339	0.083	0.07	0.102	0.681	-0.555	0.407	NoDiff
LINC00342	0.039	0.033	0.048	0.7	-0.514	0.402	NoDiff
LINC00467	0.547	0.625	0.437	1.434	0.52	0.106	NoDiff
LINC00471	0.013	0.016	0.008	2.003	1.002	0.884	NoDiff
LINC00501	0.003	0.002	0.004	0.699	-0.517	0.472	NoDiff
LINC00504	0.005	0.005	0.005	1.084	0.116	0.161	NoDiff
LINC00582	0.003	0.003	0.002	1.554	0.636	0.533	NoDiff
LINC00623	0.063	0.072	0.05	1.472	0.558	0.407	NoDiff
LINC00694	0.015	0.018	0.011	1.663	0.734	0.633	NoDiff
LINC00852	0.006	0.005	0.008	0.586	-0.771	0.734	NoDiff
LINC00853	0.003	0.001	0.007	0.07	-3.835	1	GM18502+
LINC00869	0.329	0.376	0.261	1.445	0.531	0.186	NoDiff
LINC00877	0.18	0.147	0.229	0.636	-0.653	0.824	NoDiff
LINC00880	0.008	0.008	0.007	1.195	0.257	0.156	NoDiff
LINC00881	0.025	0.012	0.043	0.276	-1.856	1	GM18502+
LINC00882	0.005	0.005	0.004	1.187	0.247	0.226	NoDiff
LINC00884	0.03	0.031	0.028	1.129	0.175	0.015	NoDiff
LINC00885	0.002	0.002	0.002	1.036	0.051	0.291	NoDiff
LINC00886	0.051	0.059	0.041	1.45	0.536	0.347	NoDiff
LINC00887	0.009	0.011	0.006	1.742	0.801	0.754	NoDiff
LINC00954	0.101	0.118	0.076	1.573	0.654	0.714	NoDiff
LINC00969	0.271	0.304	0.223	1.359	0.443	0.015	NoDiff
LINC00973	0.009	0.01	0.008	1.18	0.238	0.116	NoDiff
LINC01063	0.008	0.009	0.006	1.393	0.478	0.402	NoDiff
LINC01087	0.003	0.003	0.003	1.177	0.235	0.342	NoDiff
LINC01088	0.003	0.003	0.002	1.408	0.493	0.447	NoDiff
LINC01094	0.012	0.015	0.007	2.331	1.221	0.925	NoDiff
LINC01116	0.044	0.051	0.035	1.45	0.536	0.472	NoDiff
LINC01119	0.004	0.004	0.004	1.099	0.137	0.221	NoDiff
LINC01125	0.009	0.01	0.008	1.323	0.404	0.266	NoDiff
LINC01126	0.004	0.003	0.004	0.714	-0.487	0.432	NoDiff
LINC01132	0.001	0	0.002	0.196	-2.349	1	GM18502+
LINC01134	0.009	0.01	0.008	1.285	0.362	0.226	NoDiff
LINC01136	0.034	0.027	0.044	0.621	-0.688	0.734	NoDiff
LINC01137	0.015	0.012	0.018	0.658	-0.605	0.543	NoDiff
LINC01138	0.076	0.077	0.075	1.028	0.039	0.025	NoDiff
LINC01140	0.004	0.004	0.005	0.823	-0.28	0.307	NoDiff
LINC01144	0.005	0.004	0.006	0.729	-0.455	0.387	NoDiff
LINC01160	0.01	0.011	0.01	1.107	0.147	0.08	NoDiff
LINC01185	0.001	0.001	0.002	0.264	-1.921	0.879	NoDiff
LINC01191	0.003	0.003	0.003	1.117	0.16	0.251	NoDiff
LINC01215	0.164	0.124	0.22	0.568	-0.816	1	GM18502+
LINC01226	0.003	0.003	0.004	0.72	-0.473	0.432	NoDiff
LINC01258	0.003	0.004	0.002	1.556	0.638	0.563	NoDiff
LINC01307	0.332	0.145	0.597	0.244	-2.034	1	GM18502+
LINC01320	0.006	0.006	0.006	0.96	-0.059	0.196	NoDiff
LINC01353	0.041	0.044	0.036	1.233	0.302	0.09	NoDiff
LINC01355	0.046	0.044	0.05	0.888	-0.171	0.04	NoDiff
LINC01358	0.09	0.131	0.033	3.945	1.98	1	GM12878+
LINC01376	0.002	0.003	0	5.979	2.58	1	GM12878+
LINC01389	0.001	0.001	0.002	0.3	-1.735	0.995	GM18502+
LINC01473	0.071	0.073	0.067	1.103	0.141	0.126	NoDiff
LINC01562	0.005	0.006	0.004	1.295	0.373	0.317	NoDiff
LIPH	0.17	0.226	0.091	2.487	1.314	1	GM12878+
LIPT1	0.087	0.087	0.087	0.986	-0.021	0.03	NoDiff
LIX1L	0.343	0.321	0.376	0.856	-0.224	0	NoDiff
